確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,
Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 2：定量評価・スコアリング																																			,Step 2：定量評価・スコアリング																																			,Step 2：定量評価・スコアリング																																			,Step 2：定量評価・スコアリング																																			,Step 2：定量評価・スコアリング																																			,Step 2：定量評価・スコアリング																																			,Step 2：定量評価・スコアリング																																			,Step 2：定量評価・スコアリング																																			,Step 2：定量評価・スコアリング																																			,Step 2：定量評価・スコアリング																																			,
①社内・信用情報のスクリーニング,①社内・信用情報のスクリーニング,①社内・信用情報のスクリーニング,①社内・信用情報のスクリーニング,①社内・信用情報のスクリーニング,①社内・信用情報のスクリーニング,①社内・信用情報のスクリーニング,①社内・信用情報のスクリーニング,①社内・信用情報のスクリーニング,①社内・信用情報のスクリーニング,①社内・信用情報のスクリーニング,①社内・信用情報のスクリーニング,② 申込内容の適正確認,② 申込内容の適正確認,② 申込内容の適正確認,② 申込内容の適正確認,② 申込内容の適正確認,② 申込内容の適正確認,② 申込内容の適正確認,② 申込内容の適正確認,② 申込内容の適正確認,③ 業種別「営業許可・法的要件」の確認（許認可がないと事業不可）,③ 業種別「営業許可・法的要件」の確認（許認可がないと事業不可）,③ 業種別「営業許可・法的要件」の確認（許認可がないと事業不可）,①データ鮮度と基本品質の確認,①データ鮮度と基本品質の確認,①データ鮮度と基本品質の確認,①データ鮮度と基本品質の確認,①データ鮮度と基本品質の確認,①データ鮮度と基本品質の確認,①データ鮮度と基本品質の確認,①データ鮮度と基本品質の確認,①データ鮮度と基本品質の確認,②財務データの精度確認（粉飾・推計の検知）,②財務データの精度確認（粉飾・推計の検知）,②財務データの精度確認（粉飾・推計の検知）,②財務データの精度確認（粉飾・推計の検知）,②財務データの精度確認（粉飾・推計の検知）,②財務データの精度確認（粉飾・推計の検知）,②財務データの精度確認（粉飾・推計の検知）,②財務データの精度確認（粉飾・推計の検知）,②財務データの精度確認（粉飾・推計の検知）,③整合性確認,③整合性確認,③整合性確認,③整合性確認,③整合性確認,③整合性確認,①スコアリング・ルート判定,①スコアリング・ルート判定,①スコアリング・ルート判定,② 定量評価・スコアリング,② 定量評価・スコアリング,② 定量評価・スコアリング,② 定量評価・スコアリング,② 定量評価・スコアリング,② 定量評価・スコアリング,② 定量評価・スコアリング,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無",直近2年以内に貸倒・法的手続き・長期延滞あり,"→NG
貸倒・法的手続き・長期延滞ありは2年以内に関係なく全てNG

※長期延滞や再契約でも地震や風水災に起因しで当社が已む無しと認めその後再契約している先（再契約に至る経緯をCMSで確認すればわかる）の場合は「直近2年以内にの支払に遅れなし
もしくは取引なし」ルートに合流",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無",直近2年以内に短期遅延あり,→右のルートへ,短期遅延回数を確認,5回以上,"→NG
回収不能リスクが極めて高いため",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無",直近2年以内に短期遅延あり,→右のルートへ,短期遅延回数を確認,1~4回,"→減点

※フロー最終の審査時にここで加点/減点された情報を考慮すること
※「直近2年以内にの支払に遅れなしもしくは取引なし」ルートに合流",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",暴言、威圧的、粗暴な対応記録あり,"→NG
コンプライアンスおよび正常な取引関係維持が困難なため。
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→右のルートへ
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",「F情報」を確認（生年月日/企業名/電話番号等の照合）し、完全に一致,→NG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",「社内支払ネガ情報」で貸倒・法的措置・遅延再契約あり、または税務署・警察・社会保険事務所からシャープファイナンに問い合わせが過去にあった場合,"→NG
※社内支払ネガ情報は原則NGであるが例外として震災や風水災の被災者で人道的な観点から当社が返済を猶予し、後日再契約などを行っている場合は正常として扱う「該当なし」ルートに合流",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合","モニター①に該当
半年に1度（4月・10月）モニターチェック実施。登録月以降のチェック月に保証残があり更新されなければ対象外
最新状態ではモニター①に該当しなくても、1年前の履歴等で引っかかるケースがあるためCICでの裏取りが必須。","→原則NG
※以下の例外に合致する場合は減点
1. 登録日時が 2年以上前である。
2. 外部情報（CIC）を確認し、異動情報が抹消 されている。 

※フロー最終の審査時にここで加点/減点された情報を考慮すること
※「該当なし」ルートに合流",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合","モニター② に該当
キャッシングを確認（件数と金額を確認）
※本人の支払い状況をＣＩＣ側で確認。
※法人：代表者の保証人か、個人事業主本人かその保証人に対してチェック","→NG（件数・金額過多ならNG、許容範囲なら減点）

※フロー最終の審査時にここで加点/減点された情報を考慮すること
※「該当なし」ルートに合流",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
